Year_Week,Donor_Segment,Party,Total_Donation
2023-W08,Large,REP,307557
2023-W08,Medium,DEM,136798
2023-W08,Medium,REP,51460
2023-W08,Small,DEM,74721
2023-W08,Small,REP,157810
2023-W09,Large,DEM,923700
2023-W09,Large,REP,282787
2023-W09,Medium,DEM,180238
2023-W09,Medium,REP,72552
2023-W09,Small,DEM,85216
2023-W09,Small,REP,57181
2023-W10,Large,DEM,894469
2023-W10,Large,REP,297536
2023-W10,Medium,DEM,151163
2023-W10,Medium,REP,106106
2023-W10,Small,DEM,59785
2023-W10,Small,REP,102645
2023-W11,Large,DEM,945642
2023-W11,Large,REP,556356
2023-W11,Medium,DEM,159772
2023-W11,Medium,REP,97647
2023-W11,Small,DEM,82539
2023-W11,Small,REP,70176
2023-W12,Large,DEM,1014642
2023-W12,Large,REP,301639
2023-W12,Medium,DEM,201858
2023-W12,Medium,REP,73901
2023-W12,Small,DEM,100088
2023-W12,Small,REP,82706
2023-W13,Large,DEM,2490315
2023-W13,Large,REP,742806
2023-W13,Medium,DEM,487983
2023-W13,Medium,REP,204198
2023-W13,Small,DEM,218716
2023-W13,Small,REP,103134
2023-W14,Large,DEM,433134
2023-W14,Large,REP,393559
2023-W14,Medium,DEM,120860
2023-W14,Medium,REP,57791
2023-W14,Small,DEM,58872
2023-W14,Small,REP,41975
2023-W15,Large,DEM,735705
2023-W15,Large,REP,782985
2023-W15,Medium,DEM,119764
2023-W15,Medium,REP,221431
2023-W15,Small,DEM,64625
2023-W15,Small,REP,93064
2023-W16,Large,DEM,506892
2023-W16,Large,REP,343371
2023-W16,Medium,DEM,152609
2023-W16,Medium,REP,92095
2023-W16,Small,DEM,59525
2023-W16,Small,REP,66103
2023-W17,Large,DEM,1021047
2023-W17,Large,REP,491414
2023-W17,Medium,DEM,342989
2023-W17,Medium,REP,137897
2023-W17,Small,DEM,164046
2023-W17,Small,REP,66634
2023-W18,Large,DEM,894405
2023-W18,Large,REP,345417
2023-W18,Medium,DEM,167251
2023-W18,Medium,REP,86147
2023-W18,Small,DEM,110031
2023-W18,Small,REP,61699
2023-W19,Large,DEM,770857
2023-W19,Large,REP,385966
2023-W19,Medium,DEM,183968
2023-W19,Medium,REP,135952
2023-W19,Small,DEM,106035
2023-W19,Small,REP,66473
2023-W20,Large,DEM,748761
2023-W20,Large,REP,311180
2023-W20,Medium,DEM,192544
2023-W20,Medium,REP,124607
2023-W20,Small,DEM,106460
2023-W20,Small,REP,67320
2023-W21,Large,DEM,906782
2023-W21,Large,REP,792185
2023-W21,Medium,DEM,181664
2023-W21,Medium,REP,338120
2023-W21,Small,DEM,122724
2023-W21,Small,REP,202226
2023-W22,Large,DEM,988994
2023-W22,Large,REP,491025
2023-W22,Medium,DEM,189206
2023-W22,Medium,REP,138117
2023-W22,Small,DEM,112361
2023-W22,Small,REP,71747
2023-W23,Large,DEM,1071416
