Year_Week,Donor_Segment,Party,Total_Donation
2025-W15,Medium,REP,83951
2025-W15,Small,DEM,50247
2025-W15,Small,REP,83696
2025-W16,Large,DEM,471500
2025-W16,Large,REP,353454
2025-W16,Medium,DEM,116724
2025-W16,Medium,REP,93975
2025-W16,Small,DEM,63314
2025-W16,Small,REP,47334
2025-W17,Large,DEM,612337
2025-W17,Large,REP,495420
2025-W17,Medium,DEM,175013
2025-W17,Medium,REP,86757
2025-W17,Small,DEM,87617
2025-W17,Small,REP,83745
2025-W18,Large,DEM,602998
2025-W18,Large,REP,314504
2025-W18,Medium,DEM,155175
2025-W18,Medium,REP,61983
2025-W18,Small,DEM,57568
2025-W18,Small,REP,60556
2025-W19,Large,DEM,671027
2025-W19,Large,REP,200735
2025-W19,Medium,DEM,165568
2025-W19,Medium,REP,77724
2025-W19,Small,DEM,81843
2025-W19,Small,REP,71396
2025-W20,Large,DEM,789498
2025-W20,Large,REP,239003
2025-W20,Medium,DEM,137732
2025-W20,Medium,REP,73165
2025-W20,Small,DEM,81122
2025-W20,Small,REP,85851
2025-W21,Large,DEM,762926
2025-W21,Large,REP,216803
2025-W21,Medium,DEM,239822
2025-W21,Medium,REP,86709
2025-W21,Small,DEM,112909
2025-W21,Small,REP,84436
2025-W22,Large,DEM,640443
2025-W22,Large,REP,253485
2025-W22,Medium,DEM,179526
2025-W22,Medium,REP,79806
2025-W22,Small,DEM,83188
2025-W22,Small,REP,65464
2025-W23,Large,DEM,726604
2025-W23,Large,REP,304166
2025-W23,Medium,DEM,169307
2025-W23,Medium,REP,69358
2025-W23,Small,DEM,79157
2025-W23,Small,REP,71473
2025-W24,Large,DEM,746281
2025-W24,Large,REP,312194
2025-W24,Medium,DEM,206903
2025-W24,Medium,REP,98259
2025-W24,Small,DEM,112865
2025-W24,Small,REP,84846
2025-W25,Large,DEM,1077921
2025-W25,Large,REP,528075
2025-W25,Medium,DEM,199597
2025-W25,Medium,REP,119701
2025-W25,Small,DEM,111762
2025-W25,Small,REP,81359
2025-W26,Large,DEM,1417505
2025-W26,Large,REP,814566
2025-W26,Medium,DEM,340809
2025-W26,Medium,REP,117932
2025-W26,Small,DEM,174067
2025-W26,Small,REP,97184
2025-W27,Large,DEM,1363340
2025-W27,Large,REP,455055
2025-W27,Medium,DEM,195783
2025-W27,Medium,REP,98373
2025-W27,Small,DEM,142152
2025-W27,Small,REP,94725
2025-W28,Large,DEM,13349
2025-W28,Large,REP,10594
2025-W28,Medium,DEM,4624
2025-W28,Medium,REP,13469
2025-W28,Small,DEM,850
2025-W28,Small,REP,8501
2025-W29,Large,DEM,8064
2025-W29,Large,REP,62049
2025-W29,Medium,DEM,950
2025-W29,Medium,REP,9790
2025-W29,Small,DEM,1162
2025-W29,Small,REP,10585
2025-W30,Large,DEM,3625
2025-W30,Large,REP,58068
2025-W30,Medium,DEM,492
2025-W30,Medium,REP,7577
2025-W30,Small,DEM,1150
2025-W30,Small,REP,8010
2025-W31,Large,DEM,2650
2025-W31,Large,REP,10815
2025-W31,Medium,REP,7835
2025-W31,Small,DEM,200
2025-W31,Small,REP,10779
2025-W32,Large,DEM,8750
2025-W32,Large,REP,9744
2025-W32,Medium,DEM,1250
2025-W32,Medium,REP,10082
2025-W32,Small,REP,10779
2025-W33,Large,DEM,2270
2025-W33,Large,REP,16060
2025-W33,Medium,DEM,700
2025-W33,Medium,REP,8365
2025-W33,Small,DEM,150
2025-W33,Small,REP,7869
2025-W34,Large,DEM,1035
2025-W34,Large,REP,78606
2025-W34,Medium,DEM,650
2025-W34,Medium,REP,7141
2025-W34,Small,DEM,1532
2025-W34,Small,REP,12418
2025-W35,Large,DEM,3687
2025-W35,Large,REP,12858
2025-W35,Medium,DEM,825
2025-W35,Medium,REP,7060
2025-W35,Small,DEM,1050
2025-W35,Small,REP,7922
2025-W36,Large,DEM,3242
2025-W36,Large,REP,1500
2025-W36,Medium,DEM,850
2025-W36,Medium,REP,3500
2025-W36,Small,DEM,225
2025-W36,Small,REP,1050
2025-W37,Large,DEM,4150
2025-W37,Large,REP,1000
2025-W37,Medium,DEM,2550
2025-W37,Medium,REP,4750
2025-W37,Small,DEM,1400
2025-W37,Small,REP,2500
2025-W38,Large,DEM,560
2025-W38,Medium,DEM,1525
2025-W38,Small,DEM,1725
2025-W38,Small,REP,250
